t_id,SourcePort,Destination Port,NATSourcePort,NATDestinationPort,Action,Bytes,BytesSent,BytesReceived,Packets,ElapsedTime,pkts_sent,pkts_received
1,57222,53,54587,53,allow,177,94,83,2,30,1,1
2,56258,3389,56258,3389,allow,4768,1600,3168,19,17,10,9
3,6881,50321,43265,50321,allow,238,118,120,2,1199,1,1
4,50553,3389,50553,3389,allow,3327,1438,1889,15,17,8,7
5,50002,443,45848,443,allow,25358,6778,18580,31,16,13,18
6,51465,443,39975,443,allow,3961,1595,2366,21,16,12,9
7,60513,47094,45469,47094,allow,320,140,180,6,7,3,3
8,50049,443,21285,443,allow,7912,3269,4643,23,96,12,11
9,52244,58774,2211,58774,allow,70,70,0,1,5,1,0
10,50627,443,16215,443,allow,8256,1674,6582,31,75,15,16
11,43676,80,45378,80,allow,696,378,318,12,35,7,5
12,52190,443,16680,443,allow,7942,870,7072,22,15,10,12
13,50690,80,20479,80,allow,4805,3639,1166,16,31,9,7
14,55597,53,45448,53,allow,168,86,82,2,30,1,1
15,49164,443,45916,443,allow,7292,950,6342,19,75,9,10
16,36887,443,63451,443,allow,10922,2532,8390,27,28,13,14
17,1939,53,33288,53,allow,210,78,132,2,30,1,1
18,50281,53,33175,53,allow,195,102,93,2,30,1,1
19,57222,53,51448,53,allow,177,94,83,2,30,1,1
20,56710,53,57885,53,allow,177,94,83,2,30,1,1
21,48488,443,26104,443,allow,12993,3240,9753,36,24,18,18
22,50691,80,62082,80,allow,4237,3610,627,15,31,8,7
23,50693,80,54649,80,allow,4465,3390,1075,14,30,8,6
24,1940,53,23603,53,allow,210,78,132,2,30,1,1
25,50172,53,37056,53,allow,211,78,133,2,30,1,1
26,38802,53,38802,53,allow,216,90,126,2,30,1,1
27,50281,53,8038,53,allow,195,102,93,2,30,1,1
28,50051,443,1683,443,allow,7912,3269,4643,23,96,12,11
29,52192,443,41129,443,allow,13948,1150,12798,29,15,14,15
30,57886,443,10717,443,allow,33667,25477,8190,60,33,34,26
