t_id,SourcePort,Destination Port,NATSourcePort,NATDestinationPort,Action,Bytes,BytesSent,BytesReceived,Packets,ElapsedTime,pkts_sent,pkts_received
59999,49285,53,48057,53,allow,168,78,90,2,30,1,1
60000,60419,53,60419,53,allow,217,87,130,2,30,1,1
60001,55890,53,46214,53,allow,711,87,624,2,30,1,1
60002,57568,53,57568,53,allow,235,98,137,2,30,1,1
60003,57371,53,40591,53,allow,728,96,632,2,30,1,1
60004,59204,443,10417,443,allow,9335,3052,6283,25,125,11,14
60005,40631,53,40631,53,allow,262,107,155,2,30,1,1
60006,41426,443,52242,443,allow,3396,1964,1432,16,361,8,8
60007,54397,443,59448,443,allow,1786,172,1614,7,120,3,4
60008,50265,27034,40304,27034,allow,480,149,331,2,1200,1,1
60009,42119,36237,0,0,deny,66,66,0,1,0,1,0
60010,51439,445,0,0,drop,70,70,0,1,0,1,0
60011,51837,37965,0,0,deny,66,66,0,1,0,1,0
60012,51878,445,0,0,drop,66,66,0,1,0,1,0
60013,49386,64147,0,0,deny,62,62,0,1,0,1,0
60014,10262,11392,0,0,deny,62,62,0,1,0,1,0
60015,64767,51221,0,0,deny,62,62,0,1,0,1,0
60016,51464,23,0,0,deny,60,60,0,1,0,1,0
60017,51436,445,0,0,drop,70,70,0,1,0,1,0
60018,8999,15503,0,0,deny,146,146,0,1,0,1,0
60019,1128,44847,0,0,deny,62,62,0,1,0,1,0
60020,50102,17546,0,0,deny,66,66,0,1,0,1,0
60021,45394,443,62065,443,allow,1314,653,661,13,185,7,6
60022,49772,80,25587,80,allow,1155,781,374,10,15,6,4
60023,49526,53,60849,53,allow,402,118,284,2,30,1,1
60024,64998,27037,61288,27037,allow,3287,2072,1215,12,30,6,6
60025,57009,53,8536,53,allow,177,94,83,2,30,1,1
60026,49988,443,49988,443,allow,1466,696,770,20,120,10,10
60027,50896,80,56677,80,allow,11459959,142694,11317265,9719,135,1994,7725
60028,50917,80,57551,80,allow,11626518,135099,11491419,9627,134,1907,7720
60029,50509,443,29330,443,allow,9535,1246,8289,29,77,15,14
60030,53561,35885,64999,35885,allow,70,70,0,2,7,2,0
60031,45540,8100,64668,8100,allow,78,78,0,1,4,1,0
60032,51736,34343,51970,34343,allow,70,70,0,1,5,1,0
60033,65366,443,3510,443,allow,4319,2473,1846,24,85,10,14
60034,53505,8102,48744,8102,allow,1495,843,652,10,30,5,5
60035,21909,53,21909,53,allow,197,90,107,2,30,1,1
60036,50941,443,22406,443,allow,12831,2277,10554,37,145,17,20
60037,57224,53,20310,53,allow,532,198,334,6,50,3,3
60038,55067,443,14245,443,allow,1146,360,786,20,75,7,13
60039,50899,80,62536,80,allow,13974043,173337,13800706,11715,134,2429,9286
60040,50508,443,43933,443,allow,5938,1012,4926,20,77,11,9
60041,43837,443,27944,443,allow,70,70,0,1,4,1,0
60042,50507,443,55208,443,allow,7171,1729,5442,24,78,13,11
60043,60746,40010,7294,40010,allow,316,136,180,6,6,3,3
60044,53543,51819,47777,51819,allow,70,70,0,1,4,1,0
60045,33730,443,53132,443,allow,5947,1579,4368,22,315,12,10
60046,35343,80,43757,80,allow,953,538,415,11,318,6,5
60047,57223,443,27688,443,allow,24283,14945,9338,46,318,26,20
60048,50679,443,24042,443,allow,14172,2714,11458,32,637,13,19
60049,55946,443,34803,443,allow,9274,5282,3992,42,186,22,20
60050,65273,53,14991,53,allow,338,110,228,2,29,1,1
60051,64338,53,55215,53,allow,292,102,190,2,29,1,1
60052,44883,53,44883,53,allow,216,90,126,2,29,1,1
60053,65348,53,17423,53,allow,177,94,83,2,29,1,1
60054,56776,18318,59158,18318,allow,70,70,0,1,5,1,0
60055,43483,443,14734,443,allow,144138,17538,126600,275,300,115,160
60056,58659,53,58909,53,allow,167,78,89,2,30,1,1
60057,54322,27015,10656,27015,allow,924,924,0,3,30,3,0
60058,55154,443,28417,443,allow,1610,771,839,22,120,11,11
60059,56176,53,8371,53,allow,194,102,92,2,30,1,1
60060,65263,80,27562,80,allow,7440,4032,3408,48,629,25,23
60061,56775,20617,28248,20617,allow,70,70,0,2,8,2,0
60062,51748,15177,40687,15177,allow,70,70,0,2,9,2,0
60063,56601,80,22349,80,allow,234,234,0,4,12,4,0
60064,43488,443,22133,443,allow,6817,1221,5596,26,285,14,12
60065,44847,46972,13667,46972,allow,150,150,0,1,1200,1,0
60066,36961,443,20198,443,allow,7326,1399,5927,29,280,15,14
60067,57396,53,39255,53,allow,358,102,256,2,30,1,1
60068,55114,53,53852,53,allow,392,100,292,4,33,2,2
60069,51576,443,13071,443,allow,9753,2821,6932,39,201,22,17
60070,8986,443,12105,443,allow,8062,2804,5258,43,161,20,23
60071,46442,80,6730,80,allow,1373,669,704,10,16,5,5
60072,49774,53,5014,53,allow,236,94,142,2,30,1,1
60073,41418,443,15753,443,allow,6670,1576,5094,23,200,13,10
60074,64706,27065,37449,27065,allow,924,924,0,3,30,3,0
60075,55229,53,55587,53,allow,199,94,105,2,30,1,1
60076,59175,53,63239,53,allow,168,78,90,2,30,1,1
60077,57009,53,48433,53,allow,177,94,83,2,30,1,1
60078,50714,443,52657,443,allow,9477,1950,7527,31,181,14,17
60079,44252,443,6888,443,allow,14455,6007,8448,45,120,26,19
60080,51735,50794,12843,50794,allow,70,70,0,1,5,1,0
60081,56395,443,48597,443,allow,77506,2940,74566,100,80,38,62
60082,39527,443,33957,443,allow,8447,3506,4941,28,333,15,13
60083,54321,27015,6955,27015,allow,924,924,0,3,30,3,0
60084,54320,27016,28839,27016,allow,924,924,0,3,30,3,0
60085,35587,123,5043,123,allow,184,94,90,2,30,1,1
60086,6882,8999,49067,8999,allow,238,118,120,2,1200,1,1
60087,65262,80,27207,80,allow,8814,4800,4014,52,629,27,25
60088,61384,80,43597,80,allow,2526,843,1683,12,255,7,5
60089,63264,53,63264,53,allow,197,90,107,2,30,1,1
60090,49796,53,34008,53,allow,238,102,136,2,30,1,1
60091,61256,443,47931,443,allow,2680,255,2425,9,120,4,5
60092,65427,443,32092,443,allow,14205,1527,12678,13,147,2,11
60093,50901,80,6668,80,allow,14661588,141996,14519592,11768,134,2012,9756
60094,55597,7485,9099,7485,allow,70,70,0,2,8,2,0
60095,50903,80,42549,80,allow,13644327,154437,13489890,11257,134,2201,9056
60096,51752,31677,2687,31677,allow,70,70,0,2,8,2,0
60097,7595,80,7595,80,allow,34707,1796,32911,45,45,20,25
60098,57353,443,32586,443,allow,150,150,0,1,5,1,0
60099,56777,42486,21252,42486,allow,70,70,0,1,5,1,0
60100,56964,53,13707,53,allow,267,87,180,4,57,2,2
